mlp_index,mse_b8,mse_b16,mse_b32,mse_b64
75,6.416561518562958e-06,3.9162182474683505e-06,1.457393977943866e-06,4.1715563270372513e-07
76,3.5481575650919694e-06,2.9728689696639776e-06,7.310886758205015e-07,5.233439992480271e-07
77,2.0762724943779176e-06,1.0530652616580483e-06,6.96679876455164e-07,5.231603381616878e-07
78,1.2707369023701176e-05,9.48485921981046e-06,4.784596058016177e-06,2.498641151760239e-06
79,2.8339316031633643e-06,9.655171879785485e-07,6.148646889414522e-07,4.182258805940364e-07
80,2.8842882784374524e-06,1.3772203146800166e-06,1.7127146065831766e-06,2.9371801701927325e-07
81,1.3776136711385334e-06,1.19884771265788e-06,6.015958433636115e-07,1.8435429183227825e-07
82,4.943236490362324e-06,3.227032721042633e-06,1.2738296391034964e-06,4.080568203335133e-07
83,1.9192348190699704e-06,2.0543770915537607e-06,8.17943430320156e-07,1.3958627675947355e-07
84,3.469867351668654e-06,2.3925872483232524e-06,2.430496579108876e-06,4.0688527747079206e-07
85,4.536729193205247e-06,2.0829806999245193e-06,2.218634108430706e-06,4.941301767757977e-07
86,1.0240025403618347e-05,7.085636752890423e-06,6.65023981127888e-06,2.060535280179465e-06
87,4.556349267659243e-06,1.5100888504093746e-06,7.316119194911153e-07,2.6722398160927696e-07
88,3.2754223866504617e-06,1.3013631132707815e-06,8.585926707382896e-07,4.214593332108052e-07
89,3.0627898013335653e-06,7.879515351305599e-07,3.463683242443949e-07,1.4471271470029023e-07
90,4.041012743982719e-06,1.7279012354265433e-06,1.015014390759461e-06,2.876715825550491e-07
91,3.4559425330371596e-06,5.487665475811809e-06,2.109557044605026e-06,
92,4.722609446616843e-06,5.43449959877762e-06,1.536951231173589e-06,4.915749514111667e-07
93,3.0988162507128436e-06,1.3413711030807463e-06,5.248169259175484e-07,1.2696170870185597e-07
94,4.4643820729106665e-06,1.7321368659395375e-06,7.115630751286517e-07,4.249246217113978e-07
95,1.9762850570259616e-05,4.995424660592107e-06,2.514099605832598e-06,1.2694620181719074e-06
96,1.051110666594468e-05,4.076897312188521e-06,1.7759826960173086e-06,1.104554485209519e-06
97,1.2615964806172997e-06,7.726338253633003e-07,2.1528685465455055e-06,1.01022123999428e-06
98,6.075710189179517e-06,4.311812517698854e-06,1.2216050890856422e-06,8.64195499161724e-07
99,2.642023900989443e-06,1.2971967180419597e-06,3.4499709045121563e-07,8.121793939608324e-07
